prace.prace_massive_open_online_courses_mooc,unifl.snap4city,gbif-es.e-Learning_platform,ubora.ubora_e-platform,uni-freiburg.european_galaxy_server,gcc_umcg.molgenis
iisas.secret_management_service,seadatanet.european_directory_of_the_cruise_summary_reports_csr,desy.pan_gitlab,ifremer.argo_floats_observations__discover_and_use_in_situ_data_from_the_global_network_of_ocean_profiling_floats,rolos.machine_intelligence_platfrom_for_research,geant.ocre_cloud services by cloud and heat
inaf.space-ml_caesar_service,esrf.jupyter_notebook_is_an_open_source_web_application_that_can_used_to_create_and_share_documents_that_contain_live_code_equations_visualizations_and_text,cs_group.ai4geo_engine,desy.desy_visa,openknowledgemaps.open_knowledge_maps,unimib.latent_space_explorer
seadatanet.european_directory_of_the_cruise_summary_reports_csr,nilu.actris_data_portal,ifca-csic.plant_classification,ifremer.argo_floats_observations__discover_and_use_in_situ_data_from_the_global_network_of_ocean_profiling_floats,rolos.machine_intelligence_platfrom_for_research,geant.ocre_cloud services by cloud and heat
csc-fi.chipster,tib.open_research_knowledge_graph_orkg,gbif-es.e-Learning_platform,bsc-es.openebench,cnio.pandrugs,ubora.ubora_e-platform
diamond_light_source.diamond_remote_desktop,cs_group.ai4geo_engine,openknowledgemaps.open_knowledge_maps,desy.desy_visa,ukri_-_stfc.idaaas,uni-freiburg.european_galaxy_server
d4science.rprototypinglab_virtual_research_environment,d4science.alien_and_invasive_species_vre,icos_eric.icos_jupyter_hub,lindatclariah-cz.udpipe_tool_for_lemmatization_morphological_analysis_pos_tagging_and_dependency_parsing_in_multiple_languages,unimib.latent_space_explorer,athena.uw-map
t-systems.open_telekom_cloud,dcc-uk.dmponline,cloudferro.data_collections_catalog,openaire.graph,cloudferro.data_related_services_-_eo_browser,upv-es.lemonade
seadatanet.european_directory_of_the_cruise_summary_reports_csr,desy.pan_gitlab,ifremer.argo_floats_observations__discover_and_use_in_situ_data_from_the_global_network_of_ocean_profiling_floats,rolos.machine_intelligence_platfrom_for_research,geant.ocre_cloud services by cloud and heat,geant.ocre_cloud services by scc
upf.multilingual_corpus_of_survey_questionnaires,obp.thoth,creaf.nimmbus_geospatial_user_feedback,inoe_2000.infra-art_spectral_library,blue-cloud.plankton_eov_vlab,csi_piemonte.nivola2
